ECG;EMG;EDA;CATEGORY
-0.0146484375;492.0;162.0;post_test_sensors_2
-0.0380859375;503.0;161.0;post_test_sensors_2
-0.0146484375;506.0;161.0;post_test_sensors_2
0.011718749999999998;496.0;162.0;post_test_sensors_2
-0.0234375;502.0;158.0;post_test_sensors_2
-0.011718749999999998;505.0;157.0;post_test_sensors_2
0.0380859375;515.0;161.0;post_test_sensors_2
0.298828125;495.0;161.0;post_test_sensors_2
-0.005859374999999999;483.0;157.0;post_test_sensors_2
0.017578125;506.0;161.0;post_test_sensors_2
-0.04687499999999999;504.0;157.0;post_test_sensors_2
-0.04101562499999999;502.0;157.0;post_test_sensors_2
-0.0146484375;521.0;159.0;post_test_sensors_2
-0.005859374999999999;504.0;162.0;post_test_sensors_2
-0.0849609375;466.0;157.0;post_test_sensors_2
-0.03515625;507.0;161.0;post_test_sensors_2
-0.04101562499999999;483.0;161.0;post_test_sensors_2
-0.0263671875;495.0;161.0;post_test_sensors_2
-0.0234375;507.0;162.0;post_test_sensors_2
-0.0263671875;508.0;161.0;post_test_sensors_2
0.1435546875;489.0;158.0;post_test_sensors_2
-0.0263671875;487.0;160.0;post_test_sensors_2
-0.017578125;507.0;162.0;post_test_sensors_2
0.0087890625;486.0;159.0;post_test_sensors_2
-0.0439453125;528.0;161.0;post_test_sensors_2
-0.0146484375;504.0;161.0;post_test_sensors_2
-0.0234375;480.0;158.0;post_test_sensors_2
0.181640625;498.0;162.0;post_test_sensors_2
-0.4892578125;503.0;158.0;post_test_sensors_2
0.3515625;507.0;162.0;post_test_sensors_2
-0.755859375;491.0;162.0;post_test_sensors_2
0.0087890625;488.0;158.0;post_test_sensors_2
0.0732421875;524.0;157.0;post_test_sensors_2
-0.017578125;508.0;162.0;post_test_sensors_2
-0.0234375;503.0;157.0;post_test_sensors_2
0.0;525.0;160.0;post_test_sensors_2
-0.6826171875;471.0;161.0;post_test_sensors_2
-0.011718749999999998;499.0;160.0;post_test_sensors_2
-0.0087890625;478.0;161.0;post_test_sensors_2
-0.04687499999999999;507.0;161.0;post_test_sensors_2
-0.017578125;505.0;160.0;post_test_sensors_2
-0.005859374999999999;503.0;161.0;post_test_sensors_2
0.0;523.0;161.0;post_test_sensors_2
-0.0234375;512.0;161.0;post_test_sensors_2
-0.011718749999999998;570.0;157.0;post_test_sensors_2
-0.0029296875;531.0;158.0;post_test_sensors_2
-0.0234375;516.0;162.0;post_test_sensors_2
0.31347656249999994;501.0;161.0;post_test_sensors_2
-0.03515625;518.0;161.0;post_test_sensors_2
-0.0205078125;519.0;161.0;post_test_sensors_2
-0.0234375;509.0;160.0;post_test_sensors_2
-0.0029296875;493.0;157.0;post_test_sensors_2
-0.0234375;530.0;157.0;post_test_sensors_2
0.0146484375;517.0;160.0;post_test_sensors_2
-0.017578125;515.0;161.0;post_test_sensors_2
-0.0234375;521.0;160.0;post_test_sensors_2
0.0966796875;505.0;161.0;post_test_sensors_2
-0.029296875;525.0;161.0;post_test_sensors_2
